title,date,summary,link
'Big Short' investor Michael Burry fires back after Trump ridicules short sellers - Business Insider,"Tue, 07 Jul 2026 17:33:16 GMT","<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxPVjVJUTY1TDVwU2NfdFkwNzFHeDNLZE1QVnJGRnBFV1JNNzg0aHJ5N3VBVnlmNWJadDVVOHF0YkozQTQ4aWJnNFdNMVdVR1J0TWZpb2k1TmFYZkpnd2lpMXZic3JBSzhPNHJQM0g1QVYtNUk5OGxpREg4QUpzc0FnYkE4dGVCOGxJWVBLLWpsc1hjMjRGUVpPb2QzNUNERWc5eXFQenBtSmQ5ZFpOaDVZOA?oc=5"" target=""_blank"">'Big Short' investor Michael Burry fires back after Trump ridicules short sellers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Insider</font>",https://news.google.com/rss/articles/CBMisAFBVV95cUxPVjVJUTY1TDVwU2NfdFkwNzFHeDNLZE1QVnJGRnBFV1JNNzg0aHJ5N3VBVnlmNWJadDVVOHF0YkozQTQ4aWJnNFdNMVdVR1J0TWZpb2k1TmFYZkpnd2lpMXZic3JBSzhPNHJQM0g1QVYtNUk5OGxpREg4QUpzc0FnYkE4dGVCOGxJWVBLLWpsc1hjMjRGUVpPb2QzNUNERWc5eXFQenBtSmQ5ZFpOaDVZOA?oc=5
Trump rings Wall Street’s opening bells as he ties his presidency to stock market gains - AP News,"Mon, 06 Jul 2026 17:59:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNaVhPRnhUaWtyQ09MSm1aT0RVOVVIVVJwUEJmZUtCYmh3eWd0NGp0UTd3YzJRT2hqRjVhZzZOTjZuTW1YeVZXZXJLdjYyc2w4MktZdkxFMW5LTU8yUllkX29iNUlWampyZHRuMmhZNUkycV9GYnJQUXJ5VjdHTlVHaWtfdkltMnQ2QnN0NFZqMy0yM1BtZjhrcXNQSUtNcmE2NzB6dkZLcw?oc=5"" target=""_blank"">Trump rings Wall Street’s opening bells as he ties his presidency to stock market gains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AP News</font>",https://news.google.com/rss/articles/CBMipwFBVV95cUxNaVhPRnhUaWtyQ09MSm1aT0RVOVVIVVJwUEJmZUtCYmh3eWd0NGp0UTd3YzJRT2hqRjVhZzZOTjZuTW1YeVZXZXJLdjYyc2w4MktZdkxFMW5LTU8yUllkX29iNUlWampyZHRuMmhZNUkycV9GYnJQUXJ5VjdHTlVHaWtfdkltMnQ2QnN0NFZqMy0yM1BtZjhrcXNQSUtNcmE2NzB6dkZLcw?oc=5
These are the 5 stock funds Americans can invest in through Trump accounts - Business Insider,"Tue, 07 Jul 2026 16:50:10 GMT","<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxQYS1aYTl3QThQQVItRnlZUlNPUzB5QkRQRFEwSkVTWllxSTdPOG9CWGJUQnJHU0QxNFFxRGhfbHVaR2x1RGx5TjVlSkpFTWh6Zi1INWtOc1M1UmRNdjNKdlRnSDFsUDJLRlQwUU1oVUNjdHpqZkw2NXhkcmV1LXBSd3lRZ1FwUmFBQ0NVWVN6OUdaNDd5amtJWjFR?oc=5"" target=""_blank"">These are the 5 stock funds Americans can invest in through Trump accounts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Insider</font>",https://news.google.com/rss/articles/CBMimgFBVV95cUxQYS1aYTl3QThQQVItRnlZUlNPUzB5QkRQRFEwSkVTWllxSTdPOG9CWGJUQnJHU0QxNFFxRGhfbHVaR2x1RGx5TjVlSkpFTWh6Zi1INWtOc1M1UmRNdjNKdlRnSDFsUDJLRlQwUU1oVUNjdHpqZkw2NXhkcmV1LXBSd3lRZ1FwUmFBQ0NVWVN6OUdaNDd5amtJWjFR?oc=5
"Trump Accounts, the Dow's latest record, Microsoft layoffs and more in Morning Squawk - CNBC","Tue, 07 Jul 2026 12:03:12 GMT","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPc1VLbmZDM0tndEd0eUJlQ3BiR2VUOWQ0ZjRfcGxLb3pYME14d2tydnpoS2l0TUhiSEFiZnFJZ0NtQmI4VHRJUUM0NDZUM3pXWFY3NjZQT3dLTjNaREN6akZCM1hfUG9pX2NtSlhJeW52OHVCUTIxMmk1ZVVKR3RfVVhqSXpzajJSbmliejUwektZRkV6dFVRRjFDemRsb1VVWDhqQkt3LUhtQUVvblVvRFVrbndjLTEtamFB0gHAAUFVX3lxTE1fMTR5RUJPdTdaUnY0WjhoeWJ0YkFLSHV2dDg0U1pFSE80dXpGYzk2OVRwVl83RU1BTjd4bVJmcFI5T2ZjcXlhd3BaTzdKeXkyeEtaZ3FmQWQ1MHA5QU9zM2RXZGZsQWEzNDFYdExuMlZ1bmI3T0dKWEc1MHd4ZkdmMlFZY0NidEhQLUpQNUFTTzNzQnhIVEdvdlE5ZU84Y3k4OVFiOG1CU3VRREYzVFJqeXluZGU1dkJjcnNISWxDTw?oc=5"" target=""_blank"">Trump Accounts, the Dow's latest record, Microsoft layoffs and more in Morning Squawk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font>",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPc1VLbmZDM0tndEd0eUJlQ3BiR2VUOWQ0ZjRfcGxLb3pYME14d2tydnpoS2l0TUhiSEFiZnFJZ0NtQmI4VHRJUUM0NDZUM3pXWFY3NjZQT3dLTjNaREN6akZCM1hfUG9pX2NtSlhJeW52OHVCUTIxMmk1ZVVKR3RfVVhqSXpzajJSbmliejUwektZRkV6dFVRRjFDemRsb1VVWDhqQkt3LUhtQUVvblVvRFVrbndjLTEtamFB0gHAAUFVX3lxTE1fMTR5RUJPdTdaUnY0WjhoeWJ0YkFLSHV2dDg0U1pFSE80dXpGYzk2OVRwVl83RU1BTjd4bVJmcFI5T2ZjcXlhd3BaTzdKeXkyeEtaZ3FmQWQ1MHA5QU9zM2RXZGZsQWEzNDFYdExuMlZ1bmI3T0dKWEc1MHd4ZkdmMlFZY0NidEhQLUpQNUFTTzNzQnhIVEdvdlE5ZU84Y3k4OVFiOG1CU3VRREYzVFJqeXluZGU1dkJjcnNISWxDTw?oc=5
Trump rings opening bell to mark first day of trading for Trump Accounts - CNN,"Mon, 06 Jul 2026 13:36:51 GMT","<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTE5BOTlseXJUM0RIT3NheXgwcXJacEhsdE0wS29INzR6T2JObzhWbFRweV94cGZUbll1dFFHbm9JcTNScThvQ3pwTldKVXo2X0NBVXBCeEJ1LWlXWmIwX19yYklnNTNCZ0h6NE1kZUhR?oc=5"" target=""_blank"">Trump rings opening bell to mark first day of trading for Trump Accounts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>",https://news.google.com/rss/articles/CBMibkFVX3lxTE5BOTlseXJUM0RIT3NheXgwcXJacEhsdE0wS29INzR6T2JObzhWbFRweV94cGZUbll1dFFHbm9JcTNScThvQ3pwTldKVXo2X0NBVXBCeEJ1LWlXWmIwX19yYklnNTNCZ0h6NE1kZUhR?oc=5
Opinion | Trump plays stock adviser. Think twice before playing along. - The Washington Post,"Mon, 06 Jul 2026 18:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxNSi16c0dKbGg1RUJhZnQwZl94VDdrUWRGOGRHUXZ6NjhnTFJHdlpUZk1rR2dfRHZHNmEweTFoTkhsSkxmLWkyanZWVy00anU4WHEzTF9BQzdvQ191dktwTEx6bTVyYnpMbkpJa1pjV3BPY3E3QlUxemJLbGxFMVFwcTNiMVJMOVg1MW9tb1F1YWRhb0dVMGd4V0VpSDFBYzAzRjJz?oc=5"" target=""_blank"">Opinion | Trump plays stock adviser. Think twice before playing along.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Washington Post</font>",https://news.google.com/rss/articles/CBMiowFBVV95cUxNSi16c0dKbGg1RUJhZnQwZl94VDdrUWRGOGRHUXZ6NjhnTFJHdlpUZk1rR2dfRHZHNmEweTFoTkhsSkxmLWkyanZWVy00anU4WHEzTF9BQzdvQ191dktwTEx6bTVyYnpMbkpJa1pjV3BPY3E3QlUxemJLbGxFMVFwcTNiMVJMOVg1MW9tb1F1YWRhb0dVMGd4V0VpSDFBYzAzRjJz?oc=5
Bessent says Trump Accounts will give Americans without investments 'a piece of the action' - Yahoo Finance,"Mon, 06 Jul 2026 19:41:38 GMT","<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxOcVl5TnRqVDBjaXg0cmpVbndqQjRjcE5UcWxTYXhqMkQ3SDlYNlZQeEx4T1Y0MHRRWlV5SExhNFJHZDRwX29pdUcwekZKbFRwaUxUMU1JeVdTdU5BOTRpb1BSbVQ2bkV6V2pUWFF6NzVlNGtOVkJzV2Y3N3JidDdHY1FIY2o4NFNzZGhZTGE4SGdGYktyMW90bkloR3NYNlk4MUFQdGZ0aHprbUYzLUJsUmY4ajZGNVBGT09hdDI4NURTekpPV2VFdDNwLWRGaE5aQkNuQ3JxbUF1c1hNSmo0?oc=5"" target=""_blank"">Bessent says Trump Accounts will give Americans without investments 'a piece of the action'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",https://news.google.com/rss/articles/CBMi3wFBVV95cUxOcVl5TnRqVDBjaXg0cmpVbndqQjRjcE5UcWxTYXhqMkQ3SDlYNlZQeEx4T1Y0MHRRWlV5SExhNFJHZDRwX29pdUcwekZKbFRwaUxUMU1JeVdTdU5BOTRpb1BSbVQ2bkV6V2pUWFF6NzVlNGtOVkJzV2Y3N3JidDdHY1FIY2o4NFNzZGhZTGE4SGdGYktyMW90bkloR3NYNlk4MUFQdGZ0aHprbUYzLUJsUmY4ajZGNVBGT09hdDI4NURTekpPV2VFdDNwLWRGaE5aQkNuQ3JxbUF1c1hNSmo0?oc=5
‘Very fitting:’ Trump brings stock exchanges to White House after financial disclosures - MS NOW,"Mon, 06 Jul 2026 09:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxNVmZMaHFRaFhqZ01vNThwemlFbnlFYzZLVGtJNWVkMnd5ZnBLMUpWRzg0VEFzTXhRS28wOWl6R01GeFhzeHlfR0x5YzluYVlmYjA2RDNoa0hPLUFJbkRBeU83WlRZbERqV0xmLTdpQ0R5T3Y1SEVtMHZTQjQwaXozS0lIYjM5QzVab3c4SHFxU2VRMlpVYzF2Snd2UQ?oc=5"" target=""_blank"">‘Very fitting:’ Trump brings stock exchanges to White House after financial disclosures</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MS NOW</font>",https://news.google.com/rss/articles/CBMimwFBVV95cUxNVmZMaHFRaFhqZ01vNThwemlFbnlFYzZLVGtJNWVkMnd5ZnBLMUpWRzg0VEFzTXhRS28wOWl6R01GeFhzeHlfR0x5YzluYVlmYjA2RDNoa0hPLUFJbkRBeU83WlRZbERqV0xmLTdpQ0R5T3Y1SEVtMHZTQjQwaXozS0lIYjM5QzVab3c4SHFxU2VRMlpVYzF2Snd2UQ?oc=5
"Trump Rings Stock Market Bell to Mark Launch of ""Trump Accounts"" - C-SPAN","Mon, 06 Jul 2026 20:02:31 GMT","<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxOV2Z3Vm53VTUxX3g1bzAxaVRucFRERnVJOExMR1Q3bjZxdFotdkkyYXM3elJSVG1falJEdi1QVFRtTGFnbEt4THNPMHJjLU1XdTJhOENUc1hCLVYwX1g0UURPTFhvVDdxSWNVNmxXN2l3blJpanZ4NXF3eC02aElBbkVDMmwwQ0Z5RDQ4Q2hESWJ6OEp6Q3piSFhJbjM5RlFrYTlySHd2OVVzbV9ZemZrOElMZ1ZZYWc?oc=5"" target=""_blank"">Trump Rings Stock Market Bell to Mark Launch of ""Trump Accounts""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">C-SPAN</font>",https://news.google.com/rss/articles/CBMitwFBVV95cUxOV2Z3Vm53VTUxX3g1bzAxaVRucFRERnVJOExMR1Q3bjZxdFotdkkyYXM3elJSVG1falJEdi1QVFRtTGFnbEt4THNPMHJjLU1XdTJhOENUc1hCLVYwX1g0UURPTFhvVDdxSWNVNmxXN2l3blJpanZ4NXF3eC02aElBbkVDMmwwQ0Z5RDQ4Q2hESWJ6OEp6Q3piSFhJbjM5RlFrYTlySHd2OVVzbV9ZemZrOElMZ1ZZYWc?oc=5
SpaceX President Pledges Stock Donation to Trump Accounts - WSJ,"Mon, 06 Jul 2026 12:32:40 GMT","<a href=""https://news.google.com/rss/articles/CBMi9wFBVV95cUxNWmJkdjZuNFljTzZxYnlzendCUzFJUVl6NW4yQk5UZFNITHVvSmFaZDhjN1JOVGVjU0JiOGdtUWRZZ21zTldvNDd5Xy1Ja2VoNGJPRlRLMDBlT05yVl9qWnJBLVJoRzljOUkyUGc1RVN1U2R4T0FWbkVPOGgwazBDNjlTM2dsX3ZhS1JoYTNqZE44X0ZYQ2N3NGYwNXVQZlpLQ0hrb2hMSUJLX2RuU2lDaFJXclhKaEtRLVJEbHk3VTdkNUlLdmRHOV9CQ0g2Yk51ZVJ0ZDFFNGRXQ3RDLXUwbC1LREtlVXJMb2ZoZVZBLXlxa2NnTzln?oc=5"" target=""_blank"">SpaceX President Pledges Stock Donation to Trump Accounts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WSJ</font>",https://news.google.com/rss/articles/CBMi9wFBVV95cUxNWmJkdjZuNFljTzZxYnlzendCUzFJUVl6NW4yQk5UZFNITHVvSmFaZDhjN1JOVGVjU0JiOGdtUWRZZ21zTldvNDd5Xy1Ja2VoNGJPRlRLMDBlT05yVl9qWnJBLVJoRzljOUkyUGc1RVN1U2R4T0FWbkVPOGgwazBDNjlTM2dsX3ZhS1JoYTNqZE44X0ZYQ2N3NGYwNXVQZlpLQ0hrb2hMSUJLX2RuU2lDaFJXclhKaEtRLVJEbHk3VTdkNUlLdmRHOV9CQ0g2Yk51ZVJ0ZDFFNGRXQ3RDLXUwbC1LREtlVXJMb2ZoZVZBLXlxa2NnTzln?oc=5
