title,date,summary,link
'Big Short' investor Michael Burry fires back after Trump ridicules short sellers - Business Insider,"Tue, 07 Jul 2026 11:54:00 GMT","<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxPVjVJUTY1TDVwU2NfdFkwNzFHeDNLZE1QVnJGRnBFV1JNNzg0aHJ5N3VBVnlmNWJadDVVOHF0YkozQTQ4aWJnNFdNMVdVR1J0TWZpb2k1TmFYZkpnd2lpMXZic3JBSzhPNHJQM0g1QVYtNUk5OGxpREg4QUpzc0FnYkE4dGVCOGxJWVBLLWpsc1hjMjRGUVpPb2QzNUNERWc5eXFQenBtSmQ5ZFpOaDVZOA?oc=5"" target=""_blank"">'Big Short' investor Michael Burry fires back after Trump ridicules short sellers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Insider</font>",https://news.google.com/rss/articles/CBMisAFBVV95cUxPVjVJUTY1TDVwU2NfdFkwNzFHeDNLZE1QVnJGRnBFV1JNNzg0aHJ5N3VBVnlmNWJadDVVOHF0YkozQTQ4aWJnNFdNMVdVR1J0TWZpb2k1TmFYZkpnd2lpMXZic3JBSzhPNHJQM0g1QVYtNUk5OGxpREg4QUpzc0FnYkE4dGVCOGxJWVBLLWpsc1hjMjRGUVpPb2QzNUNERWc5eXFQenBtSmQ5ZFpOaDVZOA?oc=5
Trump rings Wall Street’s opening bells as he ties his presidency to stock market gains - AP News,"Mon, 06 Jul 2026 17:59:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNaVhPRnhUaWtyQ09MSm1aT0RVOVVIVVJwUEJmZUtCYmh3eWd0NGp0UTd3YzJRT2hqRjVhZzZOTjZuTW1YeVZXZXJLdjYyc2w4MktZdkxFMW5LTU8yUllkX29iNUlWampyZHRuMmhZNUkycV9GYnJQUXJ5VjdHTlVHaWtfdkltMnQ2QnN0NFZqMy0yM1BtZjhrcXNQSUtNcmE2NzB6dkZLcw?oc=5"" target=""_blank"">Trump rings Wall Street’s opening bells as he ties his presidency to stock market gains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AP News</font>",https://news.google.com/rss/articles/CBMipwFBVV95cUxNaVhPRnhUaWtyQ09MSm1aT0RVOVVIVVJwUEJmZUtCYmh3eWd0NGp0UTd3YzJRT2hqRjVhZzZOTjZuTW1YeVZXZXJLdjYyc2w4MktZdkxFMW5LTU8yUllkX29iNUlWampyZHRuMmhZNUkycV9GYnJQUXJ5VjdHTlVHaWtfdkltMnQ2QnN0NFZqMy0yM1BtZjhrcXNQSUtNcmE2NzB6dkZLcw?oc=5
"Trump Accounts, the Dow's latest record, Microsoft layoffs and more in Morning Squawk - CNBC","Tue, 07 Jul 2026 12:03:12 GMT","<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPc1VLbmZDM0tndEd0eUJlQ3BiR2VUOWQ0ZjRfcGxLb3pYME14d2tydnpoS2l0TUhiSEFiZnFJZ0NtQmI4VHRJUUM0NDZUM3pXWFY3NjZQT3dLTjNaREN6akZCM1hfUG9pX2NtSlhJeW52OHVCUTIxMmk1ZVVKR3RfVVhqSXpzajJSbmliejUwektZRkV6dFVRRjFDemRsb1VVWDhqQkt3LUhtQUVvblVvRFVrbndjLTEtamFB0gHAAUFVX3lxTE1fMTR5RUJPdTdaUnY0WjhoeWJ0YkFLSHV2dDg0U1pFSE80dXpGYzk2OVRwVl83RU1BTjd4bVJmcFI5T2ZjcXlhd3BaTzdKeXkyeEtaZ3FmQWQ1MHA5QU9zM2RXZGZsQWEzNDFYdExuMlZ1bmI3T0dKWEc1MHd4ZkdmMlFZY0NidEhQLUpQNUFTTzNzQnhIVEdvdlE5ZU84Y3k4OVFiOG1CU3VRREYzVFJqeXluZGU1dkJjcnNISWxDTw?oc=5"" target=""_blank"">Trump Accounts, the Dow's latest record, Microsoft layoffs and more in Morning Squawk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font>",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPc1VLbmZDM0tndEd0eUJlQ3BiR2VUOWQ0ZjRfcGxLb3pYME14d2tydnpoS2l0TUhiSEFiZnFJZ0NtQmI4VHRJUUM0NDZUM3pXWFY3NjZQT3dLTjNaREN6akZCM1hfUG9pX2NtSlhJeW52OHVCUTIxMmk1ZVVKR3RfVVhqSXpzajJSbmliejUwektZRkV6dFVRRjFDemRsb1VVWDhqQkt3LUhtQUVvblVvRFVrbndjLTEtamFB0gHAAUFVX3lxTE1fMTR5RUJPdTdaUnY0WjhoeWJ0YkFLSHV2dDg0U1pFSE80dXpGYzk2OVRwVl83RU1BTjd4bVJmcFI5T2ZjcXlhd3BaTzdKeXkyeEtaZ3FmQWQ1MHA5QU9zM2RXZGZsQWEzNDFYdExuMlZ1bmI3T0dKWEc1MHd4ZkdmMlFZY0NidEhQLUpQNUFTTzNzQnhIVEdvdlE5ZU84Y3k4OVFiOG1CU3VRREYzVFJqeXluZGU1dkJjcnNISWxDTw?oc=5
Trump rings opening bell to mark first day of trading for Trump Accounts - CNN,"Mon, 06 Jul 2026 13:36:51 GMT","<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTE5BOTlseXJUM0RIT3NheXgwcXJacEhsdE0wS29INzR6T2JObzhWbFRweV94cGZUbll1dFFHbm9JcTNScThvQ3pwTldKVXo2X0NBVXBCeEJ1LWlXWmIwX19yYklnNTNCZ0h6NE1kZUhR?oc=5"" target=""_blank"">Trump rings opening bell to mark first day of trading for Trump Accounts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>",https://news.google.com/rss/articles/CBMibkFVX3lxTE5BOTlseXJUM0RIT3NheXgwcXJacEhsdE0wS29INzR6T2JObzhWbFRweV94cGZUbll1dFFHbm9JcTNScThvQ3pwTldKVXo2X0NBVXBCeEJ1LWlXWmIwX19yYklnNTNCZ0h6NE1kZUhR?oc=5
Opinion | Trump plays stock adviser. Think twice before playing along. - The Washington Post,"Mon, 06 Jul 2026 18:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxNSi16c0dKbGg1RUJhZnQwZl94VDdrUWRGOGRHUXZ6NjhnTFJHdlpUZk1rR2dfRHZHNmEweTFoTkhsSkxmLWkyanZWVy00anU4WHEzTF9BQzdvQ191dktwTEx6bTVyYnpMbkpJa1pjV3BPY3E3QlUxemJLbGxFMVFwcTNiMVJMOVg1MW9tb1F1YWRhb0dVMGd4V0VpSDFBYzAzRjJz?oc=5"" target=""_blank"">Opinion | Trump plays stock adviser. Think twice before playing along.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Washington Post</font>",https://news.google.com/rss/articles/CBMiowFBVV95cUxNSi16c0dKbGg1RUJhZnQwZl94VDdrUWRGOGRHUXZ6NjhnTFJHdlpUZk1rR2dfRHZHNmEweTFoTkhsSkxmLWkyanZWVy00anU4WHEzTF9BQzdvQ191dktwTEx6bTVyYnpMbkpJa1pjV3BPY3E3QlUxemJLbGxFMVFwcTNiMVJMOVg1MW9tb1F1YWRhb0dVMGd4V0VpSDFBYzAzRjJz?oc=5
"Trump says stock market drove his 2025 income gains, but the majority came from crypto - WBAL-TV","Tue, 07 Jul 2026 22:20:00 GMT","<a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTFBxZ3BaSW9SSFZ5YjUyem5HSGFwYk83dkRBakFhTWhKUUVDVDk4alNXWVRBcmJxcUJtdDZxa1p1Y1pKU0RpZXNnSlRUMHdpU3lYQ000amRQWXBmb0J5azFQcEdlSXYxcVB5YUR1eHVpUncyWTNNQ1E?oc=5"" target=""_blank"">Trump says stock market drove his 2025 income gains, but the majority came from crypto</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WBAL-TV</font>",https://news.google.com/rss/articles/CBMidkFVX3lxTFBxZ3BaSW9SSFZ5YjUyem5HSGFwYk83dkRBakFhTWhKUUVDVDk4alNXWVRBcmJxcUJtdDZxa1p1Y1pKU0RpZXNnSlRUMHdpU3lYQ000amRQWXBmb0J5azFQcEdlSXYxcVB5YUR1eHVpUncyWTNNQ1E?oc=5
These are the 5 stock funds Americans can invest in through Trump accounts - Yahoo! Finance Canada,"Tue, 07 Jul 2026 16:48:04 GMT","<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxNUDZOaWpQajVnQ2hiU0tNM2d5WHZGNUc3OGs2dmVONURwb3ViRGdLbzJXVUxoQTBpek9ycGQ3MGxraHBsWnp4TWo2d2VqQjhvSXotUmgwZy1MMUJKNV94Sjk2UmpNazkwNWw4TExpOTZqbF9IRlZEeDFlMEFCbEpOMUF6VFd2UQ?oc=5"" target=""_blank"">These are the 5 stock funds Americans can invest in through Trump accounts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo! Finance Canada</font>",https://news.google.com/rss/articles/CBMihgFBVV95cUxNUDZOaWpQajVnQ2hiU0tNM2d5WHZGNUc3OGs2dmVONURwb3ViRGdLbzJXVUxoQTBpek9ycGQ3MGxraHBsWnp4TWo2d2VqQjhvSXotUmgwZy1MMUJKNV94Sjk2UmpNazkwNWw4TExpOTZqbF9IRlZEeDFlMEFCbEpOMUF6VFd2UQ?oc=5
President Rings Stock Market Opening Bell to Celebrate Trump Accounts - The New York Times,"Mon, 06 Jul 2026 21:19:24 GMT","<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxOVlY0SzF2aFNybTFVejNLVGdpNm9qbVk3VV9yWm9SZlpwSzB0alV4UWU0LTlhOTZsUnBZQUgwcWdsaS1fZHpzcks4TUpSUFVIUEtVcXR3MnBDeWRseDFobzA3YmR5SFlGSzJ6ckR4dTRwVjI3ZUlWdk42TFd2REFmMEtSTjd4Y2poSGQ0bEU4ZjZETUVlQ2ZfOTlNVXlHRThaTEE?oc=5"" target=""_blank"">President Rings Stock Market Opening Bell to Celebrate Trump Accounts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",https://news.google.com/rss/articles/CBMiogFBVV95cUxOVlY0SzF2aFNybTFVejNLVGdpNm9qbVk3VV9yWm9SZlpwSzB0alV4UWU0LTlhOTZsUnBZQUgwcWdsaS1fZHpzcks4TUpSUFVIUEtVcXR3MnBDeWRseDFobzA3YmR5SFlGSzJ6ckR4dTRwVjI3ZUlWdk42TFd2REFmMEtSTjd4Y2poSGQ0bEU4ZjZETUVlQ2ZfOTlNVXlHRThaTEE?oc=5
‘Very fitting:’ Trump brings stock exchanges to White House after financial disclosures - MS NOW,"Mon, 06 Jul 2026 09:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxNVmZMaHFRaFhqZ01vNThwemlFbnlFYzZLVGtJNWVkMnd5ZnBLMUpWRzg0VEFzTXhRS28wOWl6R01GeFhzeHlfR0x5YzluYVlmYjA2RDNoa0hPLUFJbkRBeU83WlRZbERqV0xmLTdpQ0R5T3Y1SEVtMHZTQjQwaXozS0lIYjM5QzVab3c4SHFxU2VRMlpVYzF2Snd2UQ?oc=5"" target=""_blank"">‘Very fitting:’ Trump brings stock exchanges to White House after financial disclosures</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MS NOW</font>",https://news.google.com/rss/articles/CBMimwFBVV95cUxNVmZMaHFRaFhqZ01vNThwemlFbnlFYzZLVGtJNWVkMnd5ZnBLMUpWRzg0VEFzTXhRS28wOWl6R01GeFhzeHlfR0x5YzluYVlmYjA2RDNoa0hPLUFJbkRBeU83WlRZbERqV0xmLTdpQ0R5T3Y1SEVtMHZTQjQwaXozS0lIYjM5QzVab3c4SHFxU2VRMlpVYzF2Snd2UQ?oc=5
SpaceX President Pledges Stock Donation to Trump Accounts - WSJ,"Mon, 06 Jul 2026 12:32:40 GMT","<a href=""https://news.google.com/rss/articles/CBMi9wFBVV95cUxNWmJkdjZuNFljTzZxYnlzendCUzFJUVl6NW4yQk5UZFNITHVvSmFaZDhjN1JOVGVjU0JiOGdtUWRZZ21zTldvNDd5Xy1Ja2VoNGJPRlRLMDBlT05yVl9qWnJBLVJoRzljOUkyUGc1RVN1U2R4T0FWbkVPOGgwazBDNjlTM2dsX3ZhS1JoYTNqZE44X0ZYQ2N3NGYwNXVQZlpLQ0hrb2hMSUJLX2RuU2lDaFJXclhKaEtRLVJEbHk3VTdkNUlLdmRHOV9CQ0g2Yk51ZVJ0ZDFFNGRXQ3RDLXUwbC1LREtlVXJMb2ZoZVZBLXlxa2NnTzln?oc=5"" target=""_blank"">SpaceX President Pledges Stock Donation to Trump Accounts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WSJ</font>",https://news.google.com/rss/articles/CBMi9wFBVV95cUxNWmJkdjZuNFljTzZxYnlzendCUzFJUVl6NW4yQk5UZFNITHVvSmFaZDhjN1JOVGVjU0JiOGdtUWRZZ21zTldvNDd5Xy1Ja2VoNGJPRlRLMDBlT05yVl9qWnJBLVJoRzljOUkyUGc1RVN1U2R4T0FWbkVPOGgwazBDNjlTM2dsX3ZhS1JoYTNqZE44X0ZYQ2N3NGYwNXVQZlpLQ0hrb2hMSUJLX2RuU2lDaFJXclhKaEtRLVJEbHk3VTdkNUlLdmRHOV9CQ0g2Yk51ZVJ0ZDFFNGRXQ3RDLXUwbC1LREtlVXJMb2ZoZVZBLXlxa2NnTzln?oc=5
